uri	name	type	grid	contrast_limits
s3://janelia-cosem-datasets/jrc_hela-3/jrc_hela-3.n5/em/fibsem-uint16	jrc_hela-3/em/fibsem-uint16	intensities	em/fibsem-uint16	(18000;32000)
s3://janelia-cosem-datasets/jrc_macrophage-2/jrc_macrophage-2.n5/em/fibsem-uint16	jrc_macrophage-2/em/fibsem-uint16	intensities	em/fibsem-uint16	(18000;32000)
s3://janelia-cosem-datasets/jrc_hela-2/jrc_hela-2.n5/em/fibsem-uint16	jrc_hela-2/em/fibsem-uint16	intensities	em/fibsem-uint16	(18000;32000)
s3://janelia-cosem-datasets/jrc_jurkat-1/jrc_jurkat-1.n5/em/fibsem-uint16	jrc_jurkat-1/em/fibsem-uint16	intensities	em/fibsem-uint16	(18000;32000)
s3://janelia-cosem-datasets/jrc_hela-3/jrc_hela-3.n5/labels/nucleus_seg	jrc_hela-3/labels/nucleus_seg	labels	labels/nucleus_seg	
s3://janelia-cosem-datasets/jrc_macrophage-2/jrc_macrophage-2.n5/labels/nucleus_seg	jrc_macrophage-2/labels/nucleus_seg	labels	labels/nucleus_seg	
s3://janelia-cosem-datasets/jrc_hela-2/jrc_hela-2.n5/labels/nucleus_seg	jrc_hela-2/labels/nucleus_seg	labels	labels/nucleus_seg	
s3://janelia-cosem-datasets/jrc_jurkat-1/jrc_jurkat-1.n5/labels/nucleus_seg	jrc_jurkat-1/labels/nucleus_seg	labels	labels/nucleus_seg	
s3://janelia-cosem-datasets/jrc_hela-3/jrc_hela-3.n5/labels/pm_seg	jrc_hela-3/labels/pm_seg	labels	labels/pm_seg	
s3://janelia-cosem-datasets/jrc_macrophage-2/jrc_macrophage-2.n5/labels/pm_seg	jrc_macrophage-2/labels/pm_seg	labels	labels/pm_seg	
s3://janelia-cosem-datasets/jrc_hela-2/jrc_hela-2.n5/labels/pm_seg	jrc_hela-2/labels/pm_seg	labels	labels/pm_seg	
s3://janelia-cosem-datasets/jrc_jurkat-1/jrc_jurkat-1.n5/labels/pm_seg	jrc_jurkat-1/labels/pm_seg	labels	labels/pm_seg	
s3://janelia-cosem-datasets/jrc_hela-3/jrc_hela-3.n5/labels/chrom_seg	jrc_hela-3/labels/chrom_seg	labels	labels/chrom_seg	
s3://janelia-cosem-datasets/jrc_macrophage-2/jrc_macrophage-2.n5/labels/chrom_seg	jrc_macrophage-2/labels/chrom_seg	labels	labels/chrom_seg	
s3://janelia-cosem-datasets/jrc_hela-2/jrc_hela-2.n5/labels/chrom_seg	jrc_hela-2/labels/chrom_seg	labels	labels/chrom_seg	
s3://janelia-cosem-datasets/jrc_jurkat-1/jrc_jurkat-1.n5/labels/chrom_seg	jrc_jurkat-1/labels/chrom_seg	labels	labels/chrom_seg	
s3://janelia-cosem-datasets/jrc_hela-3/jrc_hela-3.n5/labels/mito_seg	jrc_hela-3/labels/mito_seg	labels	labels/mito_seg	
s3://janelia-cosem-datasets/jrc_macrophage-2/jrc_macrophage-2.n5/labels/mito_seg	jrc_macrophage-2/labels/mito_seg	labels	labels/mito_seg	
s3://janelia-cosem-datasets/jrc_hela-2/jrc_hela-2.n5/labels/mito_seg	jrc_hela-2/labels/mito_seg	labels	labels/mito_seg	
s3://janelia-cosem-datasets/jrc_jurkat-1/jrc_jurkat-1.n5/labels/mito_seg	jrc_jurkat-1/labels/mito_seg	labels	labels/mito_seg	
